,Uur op de dag,Intensiteit per uur,Motor/personenauto (%),Licht vrachtverkeer (%),Zwaar vrachtverkeer (%),Onbepaald  (%),Gemiddelde alle voertuigen,Motor/personenauto,Licht vrachtverkeer,Zwaar vrachtverkeer
0,00:00 - 00:59,19.737233848743852,1.270379628347145,1.0457156997371164,0.6513363550076413,0.5935836210258586,0.8726969691708572,0.9699484522385712,2.622365344493402,0.4732863826479693
1,01:00 - 01:59,14.125041592859116,1.3967927842931072,0.6263605654208818,1.1697077492927852,0.847005065927793,1.4119490075778232,1.4664242223858688,1.4277254638059795,0.7919595949289332
2,02:00 - 02:59,12.067410658463563,2.8963359320254503,1.4170722820526616,2.362026133288638,0.9326300694826697,1.7453939383417143,1.3959942693292118,6.130840072942695,0.3666060555964672
3,03:00 - 03:59,9.459809723244964,3.21524440235042,1.451865569090451,2.3855720853470426,1.2641256897224489,1.1099549540409284,1.31331641275056,3.2377770151756895,0.4732863826479692
4,04:00 - 04:59,17.182316491090486,2.028486436239114,0.8864775639550453,1.812712801627788,0.874683820059604,1.1199999999999999,0.8854377448471461,1.234179889643321,0.2592296279363144
5,05:00 - 05:59,24.274101425181524,1.0919409006877838,0.6809336981129357,0.6841179671523008,0.492563210519058,0.6693280212272604,0.8597674104081872,1.1784735890124989,0.3666060555964672
6,06:00 - 06:59,97.95255994612903,0.5787432913863482,0.39175788610143686,0.11728987451330378,0.22127578886734098,0.7631513611335565,0.7631513611335565,0.9226050075736636,0.3666060555964672
7,07:00 - 07:59,490.2846715939627,0.6159146546993204,0.22649185706382116,0.15210504987399823,0.39409033778828556,1.5768322675541615,1.7260359208313134,1.149608629055993,0.3666060555964672
8,08:00 - 08:59,189.55872968555153,0.7314838486175346,0.3185474923128075,0.2690548248275659,0.4107856064508004,11.307484247170102,11.588269931271018,11.125753907039286,8.790904390334365
9,09:00 - 09:59,310.50872837973486,0.7396558817778633,0.36953621466159264,0.1528627345553816,0.314587203681434,9.028488245548088,9.105075507649566,8.790904390334365,8.69997701146388
10,10:00 - 10:59,85.92201114964662,0.5429939878022945,0.44151342192674836,0.2903554331464329,0.517120226667799,18.075574679660946,18.334579351596805,17.579897610623334,15.604102024788226
11,11:00 - 11:59,81.39837836222537,1.1323630585139495,0.4431845794196913,0.3539408717631956,0.6252443184860368,15.83282665855974,15.83282665855974,15.548015950596398,14.180437228802218
12,12:00 - 12:59,28.501901690939853,0.5362918615426401,0.3228650261905959,0.2786470093248727,0.19241199184121913,0.7631513611335565,0.7332121111929344,0.6693280212272604,0.33466401061363016
13,13:00 - 13:59,45.72568643552549,0.5285126555622864,0.3804777573194011,0.3084769389272981,0.20896090229287845,0.6693280212272604,0.6693280212272604,0.6170899448216606,0.5599999999999999
14,14:00 - 14:59,81.80587753945312,0.6129350103356189,0.20284098676572107,0.29934438267330715,0.29407268134243403,0.6170899448216606,0.6858571279792898,1.0039920318408906,0.3959797974644666
15,15:00 - 15:59,84.40449277141592,0.18428316304986214,0.18506530104323327,0.18771644303224452,0.2124830248574432,0.7332121111929344,0.7332121111929344,1.1099549540409284,0.5184592558726288
16,16:00 - 16:59,264.4400574799514,0.33588814732871,0.15666126805721575,0.14283485143693755,0.2421450065495526,0.9583318840568749,0.6170899448216606,0.5184592558726288,0.5396295025292817
17,17:00 - 17:59,288.34228548723127,0.17415544517520012,0.10828259873542233,0.17389904052521069,0.1056845096976331,0.8726969691708572,1.0792590050585633,0.6170899448216606,0.6170899448216606
18,18:00 - 18:59,157.20034605559874,0.48316711277280444,0.12330088744298108,0.22502494175494145,0.3525038220136075,1.1689311356961964,0.9583318840568749,1.5768322675541615,0.2592296279363144
19,19:00 - 19:59,71.76619817156262,0.3641614569240706,0.14817752546433632,0.18544767445608867,0.2425278976146785,1.149608629055993,1.2158947322856528,1.533623161014465,0.3346640106136302
20,20:00 - 20:59,22.381492354175133,0.528264712170819,0.22195079933464154,0.34981698612031914,0.25293438190271206,5.406662556513028,5.325260557005638,3.9085547200979542,1.4664242223858688
21,21:00 - 21:59,42.56447344911012,0.35949776490215146,0.24304283219622413,0.3717023472586411,0.39327619227931643,4.904854737910186,5.037777287653752,2.7105718953755864,1.9685527678982853
22,22:00 - 22:59,34.07892017068615,0.4890636127722131,0.19342345428692428,0.1997181023516923,0.3496373025395746,4.697233228188695,4.765878722754074,2.8397182958878155,2.084610275327261
23,23:00 - 23:59,30.242222140576903,0.8029401451000266,0.22649928391509158,0.4105115340298997,0.4766063782665335,4.272704061832506,4.3454804107256075,3.6446124622516454,1.355285947687793
